,Hour,Day,Glucose (0.37 W/m³),Acetic (0.37 W/m³),Butyric (0.37 W/m³),Caproic (0.37 W/m³),Lactic (0.37 W/m³),Glucose (67.92 W/m³),Acetic (67.92 W/m³),Butyric (67.92 W/m³),Caproic (67.92 W/m³)
0,0.0,,25.34426221,,,,,25.94174034,,,
1,10.0,0.416666667,24.09193255,,,,0.024977221,24.82798364,,,
2,14.0,0.583333333,21.81056806,,,,0.179448083,21.02010251,,0.572416374,
3,18.0,0.75,17.50226196,,,,0.452513576,16.46324249,,1.800025565,
4,22.0,0.916666667,10.77815776,,1.01850686,,,12.62883035,,2.75432002,
5,32.75,1.364583333,,,3.964730766,,0.290213007,5.678514985,,4.959896043,
6,40.0,1.666666667,,0.999107002,3.816091598,,,1.895094406,1.683518919,5.28618678,
7,59.25,2.46875,,1.451759271,3.781329744,,,0.0,2.149245143,5.708161906,0.225312548
8,108.75,4.53125,,3.620242952,3.174706098,,,,2.495295615,5.680936027,0.262031018
9,205.0,8.541666667,,3.590845381,2.817708173,1.014529682,,,3.299668716,5.524437091,0.296432303
10,276.0,11.5,,3.530038254,3.029308777,1.079134757,,,3.312403797,5.539971464,0.297041831
