,Hour,Day,Lactic (7.64 W/m³),Acetic (7.64 W/m³),Isobutyric (7.64 W/m³),Butyric (7.64 W/m³),Lactic (76.49 W/m³),Acetic (76.49 W/m³),Isobutyric (76.49 W/m³),Isovaleric (76.49 W/m³),Butyric (76.49 W/m³)
0,0.0,0.0,,,,,,,,,
1,12.0,0.5,0.0585508,,0.1477792,-0.003632806,0.11905552,,0.1507492,0.09912145,
2,16.0,0.666666667,0.15254872,0.10766615,0.2214649,0.18888051,0.13117816,,0.1612927,0.09421585,
3,22.0,0.916666667,0.03585136,0.33149018,0.2120203,0.819643446,0.27732784,0.26994557,0.2114857,0.12814625,0.481022076
4,26.0,1.083333333,,0.5869463,0.2224747,1.30858736,0.09152872,0.52828097,0.1918243,0.10591775,1.057736328
5,45.0,1.875,,0.93257987,0.1614412,1.329132282,,0.9408578,0.1664308,0.0987893,1.264401156
6,69.0,2.875,,1.25841839,0.112852,1.49262009,,1.01939816,0.1662229,0.11537125,1.302440512
7,92.5,3.854166667,,1.36391201,0.1383643,1.465056752,,1.05658886,0.1599859,0.10305615,1.226700106
8,115.0,4.791666667,,1.43629391,0.16156,1.449437336,,1.09821845,0.1909333,0.11000575,1.22051312
9,138.0,5.75,,1.49199998,0.1463239,1.401093982,,1.16072282,0.2058427,0.10591775,1.15004226
