Hour,Day,Glucose_70,Acetic_70,Propionic_70,Isobutyric_70,Butyric_70,Isovaleric_70,Valeric_70,Caproic_70,Lactic_70,Glucose_400,Acetic_400,Propionic_400,Isobutyric_400,Butyric_400,Isovaleric_400,Valeric_400,Caproic_400,Lactic_400
0,,25.34426221,,,,,,,,,25.94174034,,,,,,,,
10,0.416666667,24.09193255,,,,,,,,0.024977221,24.82798364,,,,,,,,
14,0.583333333,21.81056806,,,,,,,,0.179448083,21.02010251,,,,0.572416374,,,,0.269437052
18,0.75,17.50226196,,,,,,,,0.452513576,16.46324249,,,,1.800025565,,,,0.178629104
22,0.916666667,10.77815776,,,,1.01850686,,,,,12.62883035,,,,2.75432002,,,,
32.75,1.364583333,,,,,3.964730766,0.16379521,,,0.290213007,5.678514985,,0.019450791,,4.959896043,,,,0.020332234
40,1.666666667,,0.999107002,,0.223274384,3.816091598,,1.183051492,,,1.895094406,1.683518919,0.229170032,0.081086908,5.28618678,,0.588752367,,
59.25,2.46875,,1.451759271,0.305813248,0.054570787,3.781329744,,,,,0,2.149245143,0.900921632,0.30934988,5.708161906,,0.328439931,0.225312548,
108.75,4.53125,,3.620242952,0.269737964,0.107057783,3.174706098,,,,,,2.495295615,0.930129208,0.273933083,5.680936027,,,0.262031018,
205,8.541666667,,3.590845381,0.26606124,0.164682392,2.817708173,,0.081514792,1.014529682,,,3.299668716,0.903355696,0.336234487,5.524437091,,,0.296432303,
276,11.5,,3.530038254,0.281096532,0.184263796,3.029308777,,0.074483748,1.079134757,,,3.312403797,0.935744124,0.348919022,5.539971464,0.978379162,,0.297041831,
