Hour,Day,Glucose_355,Acetic_355,Propionic_355,Isobutyric_355,Butyric_355,Isovaleric_355,Valeric_355,Caproic_355,Ethanol_355,Lactic_355,Glucose_765,Acetic_765,Propionic_765,Isobutyric_765,Butyric_765,Isovaleric_765,Valeric_765,Caproic_765,Ethanol_765,Lactic_400
0,0,,,,,,,,,,,,,,,,,,,,
12,0.5,,,,0.1477792,,,,,,0.0585508,,,,0.1507492,,,,,,0.11905552
16,0.666666667,,0.10766615,,0.2214649,0.18888051,,,,,0.15254872,,,,0.1612927,,,,,,0.13117816
22,0.916666667,,0.33149018,,0.2120203,0.819643446,,,,,0.03585136,,0.26994557,,0.2114857,0.481022076,,,,,0.27732784
26,1.083333333,,0.5869463,,0.2224747,1.30858736,,,,,,,0.52828097,,0.1918243,1.057736328,,,,,0.09152872
45,1.875,,0.93257987,,0.1614412,1.329132282,,,,,,,0.9408578,,0.1664308,1.264401156,,,,,
69,2.875,,1.25841839,,0.112852,1.49262009,,,,,,,1.01939816,,0.1662229,1.302440512,,,,,
92.5,3.854166667,,1.36391201,,0.1383643,1.465056752,,,,,,,1.05658886,,0.1599859,1.226700106,,,,,
115,4.791666667,,1.43629391,,0.16156,1.449437336,,,,,,,1.09821845,,0.1909333,1.22051312,,,,,
138,5.75,,1.49199998,,0.1463239,1.401093982,,,,,,,1.16072282,,0.2058427,1.15004226,,,,,
