Hour,Day,Lactic_355,Acetic_355,Isobutyric_355,Butyric_355,Total_355,Lactic_765,Acetic_765,Isobutyric_765,Isovaleric_765,Butyric_765,Total_765
0,0,,,,,,,,,,,
12,0.5,0.0585508,,0.1477792,-0.003632806,0.1477792,0.11905552,,0.1507492,0.09912145,,0.1507492
16,0.666666667,0.15254872,0.10766615,0.2214649,0.18888051,0.51801156,0.13117816,,0.1612927,0.09421585,,0.1612927
22,0.916666667,0.03585136,0.33149018,0.2120203,0.819643446,1.363153926,0.27732784,0.26994557,0.2114857,0.12814625,0.481022076,0.962453346
26,1.083333333,,0.5869463,0.2224747,1.30858736,2.11800836,0.09152872,0.52828097,0.1918243,0.10591775,1.057736328,1.777841598
45,1.875,,0.93257987,0.1614412,1.329132282,2.423153352,,0.9408578,0.1664308,0.0987893,1.264401156,2.371689756
69,2.875,,1.25841839,0.112852,1.49262009,2.86389048,,1.01939816,0.1662229,0.11537125,1.302440512,2.488061572
92.5,3.854166667,,1.36391201,0.1383643,1.465056752,2.967333062,,1.05658886,0.1599859,0.10305615,1.226700106,2.443274866
115,4.791666667,,1.43629391,0.16156,1.449437336,3.047291246,,1.09821845,0.1909333,0.11000575,1.22051312,2.50966487
138,5.75,,1.49199998,0.1463239,1.401093982,3.039417862,,1.16072282,0.2058427,0.10591775,1.15004226,2.51660778
